WAFER_ID,n_stable_segment,b_stable,b_stable_update
-4230160598,5,"[0, 18, 18, 138, 138, 158, 158, 169, 169, 187]","[0, 18, 138, 158, 169, 187]"
-4230160428,5,"[0, 17, 17, 138, 138, 158, 158, 170, 170, 187]","[0, 17, 138, 158, 170, 187]"
-4230160424,5,"[0, 18, 18, 140, 140, 160, 160, 171, 171, 188]","[0, 18, 140, 160, 171, 188]"
-4230160408,5,"[0, 18, 18, 138, 138, 159, 159, 170, 170, 187]","[0, 18, 138, 159, 170, 187]"
-4228160702,5,"[0, 18, 18, 142, 142, 162, 162, 172, 172, 189]","[0, 18, 142, 162, 172, 189]"
-4228160690,5,"[0, 17, 17, 141, 141, 162, 162, 173, 173, 190]","[0, 17, 141, 162, 173, 190]"
-4228160686,5,"[0, 20, 20, 144, 144, 165, 165, 176, 176, 193]","[0, 20, 144, 165, 176, 193]"
-4228160682,5,"[0, 19, 19, 146, 146, 166, 166, 176, 176, 193]","[0, 19, 146, 166, 176, 193]"
-4228160678,5,"[0, 16, 16, 142, 142, 163, 163, 173, 173, 192]","[0, 16, 142, 163, 173, 192]"
-4228160670,5,"[0, 17, 17, 139, 139, 159, 159, 169, 169, 186]","[0, 17, 139, 159, 169, 186]"
-4228160662,5,"[0, 17, 17, 140, 140, 161, 161, 171, 171, 189]","[0, 17, 140, 161, 171, 189]"
-4228160658,5,"[0, 9, 9, 133, 133, 153, 153, 163, 163, 181]","[0, 9, 133, 153, 163, 181]"
-4228160642,5,"[0, 20, 20, 140, 140, 161, 161, 172, 172, 189]","[0, 20, 140, 161, 172, 189]"
-4228160604,5,"[0, 18, 18, 149, 149, 161, 161, 182, 182, 197]","[0, 18, 149, 161, 182, 197]"
-4228160600,5,"[0, 15, 15, 137, 137, 158, 158, 169, 169, 186]","[0, 15, 137, 158, 169, 186]"
-4228160596,5,"[0, 15, 15, 141, 141, 161, 161, 171, 171, 192]","[0, 15, 141, 161, 171, 192]"
-4228160580,5,"[0, 17, 17, 146, 146, 165, 165, 176, 176, 197]","[0, 17, 146, 165, 176, 197]"
-4226160424,5,"[0, 16, 16, 142, 142, 161, 161, 172, 172, 189]","[0, 16, 142, 161, 172, 189]"
-4226160416,5,"[0, 10, 10, 134, 134, 155, 155, 165, 165, 183]","[0, 10, 134, 155, 165, 183]"
-4226160396,5,"[0, 9, 9, 132, 132, 152, 152, 161, 161, 184]","[0, 9, 132, 152, 161, 184]"
-4224160694,5,"[0, 17, 17, 144, 144, 165, 165, 174, 174, 193]","[0, 17, 144, 165, 174, 193]"
-4224160690,5,"[0, 17, 17, 147, 147, 168, 168, 178, 178, 196]","[0, 17, 147, 168, 178, 196]"
-4224160662,5,"[0, 8, 8, 133, 133, 148, 148, 151, 151, 172]","[0, 8, 133, 148, 151, 172]"
-4224160654,5,"[0, 12, 12, 133, 133, 154, 154, 165, 165, 182]","[0, 12, 133, 154, 165, 182]"
-4224160650,5,"[0, 10, 10, 137, 137, 157, 157, 167, 167, 184]","[0, 10, 137, 157, 167, 184]"
-4224160646,5,"[0, 16, 16, 163, 163, 183, 183, 193, 193, 211]","[0, 16, 163, 183, 193, 211]"
-4224160600,5,"[0, 9, 9, 131, 131, 152, 152, 162, 162, 180]","[0, 9, 131, 152, 162, 180]"
-4222160448,5,"[0, 18, 18, 147, 147, 169, 169, 179, 179, 197]","[0, 18, 147, 169, 179, 197]"
-4222160428,5,"[0, 17, 17, 147, 147, 167, 167, 175, 175, 194]","[0, 17, 147, 167, 175, 194]"
-4222160420,5,"[0, 19, 19, 148, 148, 169, 169, 179, 179, 197]","[0, 19, 148, 169, 179, 197]"
-4222160392,5,"[0, 16, 16, 146, 146, 166, 166, 175, 175, 193]","[0, 16, 146, 166, 175, 193]"
-4220160702,5,"[0, 10, 10, 129, 129, 150, 150, 160, 160, 178]","[0, 10, 129, 150, 160, 178]"
-4220160694,5,"[0, 20, 20, 137, 137, 158, 158, 168, 168, 186]","[0, 20, 137, 158, 168, 186]"
-4220160674,5,"[0, 17, 17, 145, 145, 165, 165, 175, 175, 193]","[0, 17, 145, 165, 175, 193]"
-4220160650,5,"[0, 20, 20, 146, 146, 166, 166, 176, 176, 194]","[0, 20, 146, 166, 176, 194]"
-4220160646,5,"[0, 18, 18, 134, 134, 157, 157, 167, 167, 185]","[0, 18, 134, 157, 167, 185]"
-4220160604,5,"[0, 17, 17, 148, 148, 167, 167, 177, 177, 194]","[0, 17, 148, 167, 177, 194]"
-4216160702,5,"[0, 22, 22, 153, 153, 174, 174, 185, 185, 202]","[0, 22, 153, 174, 185, 202]"
-4216160694,5,"[0, 17, 17, 150, 150, 169, 169, 180, 180, 198]","[0, 17, 150, 169, 180, 198]"
-4216160670,5,"[0, 16, 16, 142, 142, 163, 163, 173, 173, 191]","[0, 16, 142, 163, 173, 191]"
-4216160666,5,"[0, 7, 7, 136, 136, 156, 156, 166, 166, 183]","[0, 7, 136, 156, 166, 183]"
-4216160662,5,"[0, 19, 19, 148, 148, 169, 169, 179, 179, 197]","[0, 19, 148, 169, 179, 197]"
-4216160658,5,"[0, 17, 17, 146, 146, 167, 167, 177, 177, 195]","[0, 17, 146, 167, 177, 195]"
-4216160650,5,"[0, 17, 17, 145, 145, 165, 165, 178, 178, 192]","[0, 17, 145, 165, 178, 192]"
-4216160642,5,"[0, 17, 17, 152, 152, 171, 171, 182, 182, 198]","[0, 17, 152, 171, 182, 198]"
-4216160640,5,"[0, 17, 17, 137, 137, 156, 156, 167, 167, 184]","[0, 17, 137, 156, 167, 184]"
-4216160624,5,"[0, 17, 17, 144, 144, 165, 165, 177, 177, 193]","[0, 17, 144, 165, 177, 193]"
-4210160444,5,"[0, 19, 19, 142, 142, 162, 162, 172, 172, 190]","[0, 19, 142, 162, 172, 190]"
-4208160362,5,"[0, 12, 12, 131, 131, 150, 150, 160, 160, 178]","[0, 12, 131, 150, 160, 178]"
-4141512120,5,"[0, 16, 16, 137, 137, 158, 158, 169, 169, 186]","[0, 16, 137, 158, 169, 186]"
-4141512096,5,"[0, 19, 19, 143, 143, 164, 164, 174, 174, 191]","[0, 19, 143, 164, 174, 191]"
-4141512072,5,"[0, 17, 17, 137, 137, 159, 159, 169, 169, 186]","[0, 17, 137, 159, 169, 186]"
-4139512004,5,"[0, 17, 17, 140, 140, 160, 160, 170, 170, 187]","[0, 17, 140, 160, 170, 187]"
-4139511866,5,"[0, 20, 20, 142, 142, 163, 163, 173, 173, 191]","[0, 20, 142, 163, 173, 191]"
-4139511854,5,"[0, 17, 17, 141, 141, 162, 162, 173, 173, 190]","[0, 17, 141, 162, 173, 190]"
-4139511850,5,"[0, 17, 17, 141, 141, 163, 163, 173, 173, 190]","[0, 17, 141, 163, 173, 190]"
-4139511842,5,"[0, 17, 17, 138, 138, 159, 159, 170, 170, 188]","[0, 17, 138, 159, 170, 188]"
-4139511826,5,"[0, 17, 17, 142, 142, 162, 162, 171, 171, 190]","[0, 17, 142, 162, 171, 190]"
-4113511826,5,"[0, 30, 30, 159, 159, 179, 179, 189, 189, 208]","[0, 30, 159, 179, 189, 208]"
-4113511818,5,"[0, 20, 20, 150, 150, 170, 170, 181, 181, 198]","[0, 20, 150, 170, 181, 198]"
-4113511814,5,"[0, 18, 18, 150, 150, 171, 171, 181, 181, 198]","[0, 18, 150, 171, 181, 198]"
-4113511808,5,"[0, 17, 17, 144, 144, 164, 164, 175, 175, 191]","[0, 17, 144, 164, 175, 191]"
-4113511796,5,"[0, 19, 19, 149, 149, 170, 170, 181, 181, 198]","[0, 19, 149, 170, 181, 198]"
-4113511792,5,"[0, 21, 21, 156, 156, 177, 177, 187, 187, 205]","[0, 21, 156, 177, 187, 205]"
-4113511780,5,"[0, 17, 17, 147, 147, 169, 169, 179, 179, 196]","[0, 17, 147, 169, 179, 196]"
-4113511756,5,"[0, 17, 17, 145, 145, 166, 166, 177, 177, 193]","[0, 17, 145, 166, 177, 193]"
-4113511752,5,"[0, 20, 20, 146, 146, 167, 167, 177, 177, 194]","[0, 20, 146, 167, 177, 194]"
-4113511748,5,"[0, 16, 16, 143, 143, 164, 164, 176, 176, 192]","[0, 16, 143, 164, 176, 192]"
-4111512062,5,"[0, 17, 17, 130, 130, 158, 158, 168, 168, 186]","[0, 17, 130, 158, 168, 186]"
-4111512058,5,"[0, 18, 18, 138, 138, 156, 156, 168, 168, 184]","[0, 18, 138, 156, 168, 184]"
-4111512050,5,"[0, 19, 19, 142, 142, 157, 157, 165, 165, 190]","[0, 19, 142, 157, 165, 190]"
-4111511824,5,"[0, 17, 17, 138, 138, 159, 159, 169, 169, 187]","[0, 17, 138, 159, 169, 187]"
-4111511820,5,"[0, 16, 16, 144, 144, 164, 164, 174, 174, 191]","[0, 16, 144, 164, 174, 191]"
-4111511816,5,"[0, 17, 17, 140, 140, 161, 161, 172, 172, 189]","[0, 17, 140, 161, 172, 189]"
-4045511828,5,"[0, 17, 17, 138, 138, 158, 158, 168, 168, 185]","[0, 17, 138, 158, 168, 185]"
-4045511812,5,"[0, 20, 20, 139, 139, 159, 159, 170, 170, 187]","[0, 20, 139, 159, 170, 187]"
-4043511808,5,"[0, 17, 17, 137, 137, 156, 156, 167, 167, 184]","[0, 17, 137, 156, 167, 184]"
-4043511796,5,"[0, 18, 18, 136, 136, 156, 156, 166, 166, 183]","[0, 18, 136, 156, 166, 183]"
-4043511570,5,"[0, 10, 10, 137, 137, 158, 158, 168, 168, 185]","[0, 10, 137, 158, 168, 185]"
-4041511872,5,"[0, 16, 16, 128, 128, 149, 149, 159, 159, 174]","[0, 16, 128, 149, 159, 174]"
-4041511860,5,"[0, 20, 20, 133, 133, 154, 154, 158, 158, 182]","[0, 20, 133, 154, 158, 182]"
-4041511852,5,"[0, 17, 17, 133, 133, 152, 152, 163, 163, 180]","[0, 17, 133, 152, 163, 180]"
-4039511800,5,"[0, 17, 17, 134, 134, 152, 152, 163, 163, 181]","[0, 17, 134, 152, 163, 181]"
-4039511788,5,"[0, 17, 17, 129, 129, 150, 150, 161, 161, 177]","[0, 17, 129, 150, 161, 177]"
-4039511784,5,"[0, 15, 15, 131, 131, 153, 153, 163, 163, 180]","[0, 15, 131, 153, 163, 180]"
-4039511574,5,"[0, 21, 21, 137, 137, 157, 157, 167, 167, 184]","[0, 21, 137, 157, 167, 184]"
-4039511566,5,"[0, 16, 16, 131, 131, 152, 152, 163, 163, 179]","[0, 16, 131, 152, 163, 179]"
-4039511558,5,"[0, 19, 19, 134, 134, 155, 155, 165, 165, 182]","[0, 19, 134, 155, 165, 182]"
-4039511554,5,"[0, 20, 20, 135, 135, 154, 154, 165, 165, 181]","[0, 20, 135, 154, 165, 181]"
-4037511832,5,"[0, 9, 9, 128, 128, 149, 149, 159, 159, 178]","[0, 9, 128, 149, 159, 178]"
-4037511828,5,"[0, 5, 5, 121, 121, 142, 142, 152, 152, 169]","[0, 5, 121, 142, 152, 169]"
-4037511816,5,"[0, 18, 18, 135, 135, 156, 156, 167, 167, 184]","[0, 18, 135, 156, 167, 184]"
-4037511812,5,"[0, 17, 17, 137, 137, 157, 157, 167, 167, 184]","[0, 17, 137, 157, 167, 184]"
-4033511582,5,"[0, 17, 17, 133, 133, 154, 154, 164, 164, 181]","[0, 17, 133, 154, 164, 181]"
-4033511524,5,"[0, 6, 6, 134, 134, 155, 155, 164, 164, 188]","[0, 6, 134, 155, 164, 188]"
-4027511790,5,"[0, 5, 5, 129, 129, 149, 149, 159, 159, 175]","[0, 5, 129, 149, 159, 175]"
-4027511786,5,"[0, 17, 17, 137, 137, 158, 158, 168, 168, 185]","[0, 17, 137, 158, 168, 185]"
-4027511782,5,"[0, 17, 17, 137, 137, 159, 159, 170, 170, 187]","[0, 17, 137, 159, 170, 187]"
-4027511762,5,"[0, 19, 19, 159, 159, 180, 180, 191, 191, 210]","[0, 19, 159, 180, 191, 210]"
-4027511568,5,"[0, 6, 6, 126, 126, 147, 147, 158, 158, 175]","[0, 6, 126, 147, 158, 175]"
-4027511564,5,"[0, 8, 8, 132, 132, 152, 152, 162, 162, 179]","[0, 8, 132, 152, 162, 179]"
-4027511556,5,"[0, 19, 19, 145, 145, 164, 164, 174, 174, 192]","[0, 19, 145, 164, 174, 192]"
-4025511554,5,"[0, 15, 15, 146, 146, 167, 167, 180, 180, 195]","[0, 15, 146, 167, 180, 195]"
-4025511548,5,"[0, 22, 22, 141, 141, 162, 162, 172, 172, 190]","[0, 22, 141, 162, 172, 190]"
-4025511496,5,"[0, 17, 17, 139, 139, 160, 160, 164, 164, 188]","[0, 17, 139, 160, 164, 188]"
-4023511802,5,"[0, 17, 17, 144, 144, 163, 163, 174, 174, 191]","[0, 17, 144, 163, 174, 191]"
-4023511798,5,"[0, 6, 6, 115, 115, 149, 149, 159, 159, 177]","[0, 6, 115, 149, 159, 177]"
-4023511794,5,"[0, 17, 17, 144, 144, 165, 165, 172, 172, 193]","[0, 17, 144, 165, 172, 193]"
-4023511746,5,"[0, 17, 17, 139, 139, 160, 160, 170, 170, 186]","[0, 17, 139, 160, 170, 186]"
-4023511592,5,"[0, 20, 20, 141, 141, 162, 162, 172, 172, 190]","[0, 20, 141, 162, 172, 190]"
-4021511602,5,"[0, 18, 18, 146, 146, 165, 165, 174, 174, 191]","[0, 18, 146, 165, 174, 191]"
-4019511806,5,"[0, 19, 19, 145, 145, 160, 160, 175, 175, 193]","[0, 19, 145, 160, 175, 193]"
-4019511794,5,"[0, 20, 20, 147, 147, 160, 160, 179, 179, 196]","[0, 20, 147, 160, 179, 196]"
-4019511774,5,"[0, 19, 19, 149, 149, 169, 169, 179, 179, 196]","[0, 19, 149, 169, 179, 196]"
-4019511770,5,"[0, 17, 17, 142, 142, 163, 163, 173, 173, 191]","[0, 17, 142, 163, 173, 191]"
-4017511504,5,"[0, 17, 17, 139, 139, 160, 160, 170, 170, 188]","[0, 17, 139, 160, 170, 188]"
-3784722864,5,"[0, 17, 17, 139, 139, 160, 160, 170, 170, 187]","[0, 17, 139, 160, 170, 187]"
-3784722786,5,"[0, 7, 7, 130, 130, 148, 148, 160, 160, 178]","[0, 7, 130, 148, 160, 178]"
-3784722774,5,"[0, 17, 17, 137, 137, 158, 158, 167, 167, 187]","[0, 17, 137, 158, 167, 187]"
-3784722770,5,"[0, 8, 8, 131, 131, 151, 151, 161, 161, 177]","[0, 8, 131, 151, 161, 177]"
-3784722766,5,"[0, 17, 17, 134, 134, 156, 156, 166, 166, 188]","[0, 17, 134, 156, 166, 188]"
-3784722762,5,"[0, 18, 18, 141, 141, 161, 161, 173, 173, 189]","[0, 18, 141, 161, 173, 189]"
-3780722694,5,"[0, 20, 20, 140, 140, 160, 160, 171, 171, 188]","[0, 20, 140, 160, 171, 188]"
-2701400532,5,"[0, 19, 19, 149, 149, 169, 169, 179, 179, 197]","[0, 19, 149, 169, 179, 197]"
-2699400364,5,"[0, 17, 17, 138, 138, 159, 159, 169, 169, 187]","[0, 17, 138, 159, 169, 187]"
-2579249814,5,"[0, 20, 20, 137, 137, 166, 166, 176, 176, 194]","[0, 20, 137, 166, 176, 194]"
-2579249810,5,"[0, 17, 17, 140, 140, 161, 161, 171, 171, 188]","[0, 17, 140, 161, 171, 188]"
-2579249784,5,"[0, 17, 17, 140, 140, 161, 161, 172, 172, 189]","[0, 17, 140, 161, 172, 189]"
-2569250038,5,"[0, 17, 17, 126, 126, 152, 152, 162, 162, 179]","[0, 17, 126, 152, 162, 179]"
-2569250030,5,"[0, 19, 19, 133, 133, 155, 155, 165, 165, 182]","[0, 19, 133, 155, 165, 182]"
-2569249820,5,"[0, 16, 16, 139, 139, 160, 160, 170, 170, 187]","[0, 16, 139, 160, 170, 187]"
-2569249800,5,"[0, 17, 17, 135, 135, 156, 156, 167, 167, 184]","[0, 17, 135, 156, 167, 184]"
-2567249792,5,"[0, 18, 18, 138, 138, 158, 158, 169, 169, 186]","[0, 18, 138, 158, 169, 186]"
-2567249788,5,"[0, 17, 17, 138, 138, 159, 159, 169, 169, 186]","[0, 17, 138, 159, 169, 186]"
-2567249764,5,"[0, 16, 16, 137, 137, 157, 157, 167, 167, 184]","[0, 16, 137, 157, 167, 184]"
-2567249756,5,"[0, 20, 20, 137, 137, 158, 158, 168, 168, 186]","[0, 20, 137, 158, 168, 186]"
-2567249752,5,"[0, 18, 18, 135, 135, 155, 155, 165, 165, 181]","[0, 18, 135, 155, 165, 181]"
-2567249744,5,"[0, 18, 18, 136, 136, 157, 157, 168, 168, 184]","[0, 18, 136, 157, 168, 184]"
-2565249998,5,"[0, 20, 20, 140, 140, 159, 159, 171, 171, 192]","[0, 20, 140, 159, 171, 192]"
-2565249990,5,"[0, 17, 17, 140, 140, 161, 161, 172, 172, 188]","[0, 17, 140, 161, 172, 188]"
-2149929672,5,"[0, 18, 18, 148, 148, 169, 169, 179, 179, 197]","[0, 18, 148, 169, 179, 197]"
-2149929534,5,"[0, 18, 18, 140, 140, 161, 161, 172, 172, 189]","[0, 18, 140, 161, 172, 189]"
-2143929768,5,"[0, 17, 17, 144, 144, 164, 164, 173, 173, 191]","[0, 17, 144, 164, 173, 191]"
-2143929760,5,"[0, 21, 21, 148, 148, 167, 167, 178, 178, 195]","[0, 21, 148, 167, 178, 195]"
-2143929740,5,"[0, 16, 16, 140, 140, 156, 156, 169, 169, 187]","[0, 16, 140, 156, 169, 187]"
-2143929718,5,"[0, 16, 16, 145, 145, 166, 166, 176, 176, 194]","[0, 16, 145, 166, 176, 194]"
-2143929710,5,"[0, 17, 17, 141, 141, 163, 163, 173, 173, 191]","[0, 17, 141, 163, 173, 191]"
-2141929700,5,"[0, 19, 19, 140, 140, 161, 161, 171, 171, 189]","[0, 19, 140, 161, 171, 189]"
-2141929518,5,"[0, 18, 18, 141, 141, 162, 162, 172, 172, 190]","[0, 18, 141, 162, 172, 190]"
-2141929514,5,"[0, 17, 17, 149, 149, 170, 170, 179, 179, 198]","[0, 17, 149, 170, 179, 198]"
-2141929506,5,"[0, 20, 20, 150, 150, 160, 160, 173, 173, 200]","[0, 20, 150, 160, 173, 200]"
-2141929486,5,"[0, 17, 17, 140, 140, 161, 161, 171, 171, 188]","[0, 17, 140, 161, 171, 188]"
-2139929788,5,"[0, 14, 14, 144, 144, 164, 164, 173, 173, 191]","[0, 14, 144, 164, 173, 191]"
-2139929772,5,"[0, 21, 21, 148, 148, 169, 169, 179, 179, 197]","[0, 21, 148, 169, 179, 197]"
-2139929744,5,"[0, 18, 18, 141, 141, 161, 161, 171, 171, 188]","[0, 18, 141, 161, 171, 188]"
-2139929710,5,"[0, 9, 9, 139, 139, 158, 158, 169, 169, 186]","[0, 9, 139, 158, 169, 186]"
-2137929694,5,"[0, 17, 17, 146, 146, 166, 166, 173, 173, 194]","[0, 17, 146, 166, 173, 194]"
-2137929686,5,"[0, 18, 18, 139, 139, 160, 160, 171, 171, 188]","[0, 18, 139, 160, 171, 188]"
-2137929682,5,"[0, 19, 19, 146, 146, 167, 167, 178, 178, 195]","[0, 19, 146, 167, 178, 195]"
-2135929472,5,"[0, 19, 19, 138, 138, 159, 159, 168, 168, 187]","[0, 19, 138, 159, 168, 187]"
-2135929468,5,"[0, 17, 17, 138, 138, 159, 159, 169, 169, 186]","[0, 17, 138, 159, 169, 186]"
-2135929452,5,"[0, 17, 17, 136, 136, 158, 158, 169, 169, 186]","[0, 17, 136, 158, 169, 186]"
-2135929440,5,"[0, 17, 17, 139, 139, 160, 160, 170, 170, 194]","[0, 17, 139, 160, 170, 194]"
-2135929432,5,"[0, 18, 18, 143, 143, 164, 164, 174, 174, 192]","[0, 18, 143, 164, 174, 192]"
-2135929424,5,"[0, 5, 5, 124, 124, 145, 145, 155, 155, 173]","[0, 5, 124, 145, 155, 173]"
-2133929500,5,"[0, 17, 17, 132, 132, 153, 153, 163, 163, 180]","[0, 17, 132, 153, 163, 180]"
-2133929492,5,"[0, 19, 19, 139, 139, 160, 160, 170, 170, 187]","[0, 19, 139, 160, 170, 187]"
-2131929482,5,"[0, 19, 19, 145, 145, 165, 165, 175, 175, 192]","[0, 19, 145, 165, 175, 192]"
-2131929478,5,"[0, 17, 17, 137, 137, 158, 158, 167, 167, 186]","[0, 17, 137, 158, 167, 186]"
-2131929464,5,"[0, 17, 17, 143, 143, 163, 163, 173, 173, 191]","[0, 17, 143, 163, 173, 191]"
-2131929448,5,"[0, 21, 21, 144, 144, 164, 164, 174, 174, 190]","[0, 21, 144, 164, 174, 190]"
-2131929416,5,"[0, 20, 20, 142, 142, 162, 162, 172, 172, 189]","[0, 20, 142, 162, 172, 189]"
-2129929714,5,"[0, 20, 20, 139, 139, 160, 160, 171, 171, 187]","[0, 20, 139, 160, 171, 187]"
-2129929698,5,"[0, 21, 21, 144, 144, 164, 164, 174, 174, 191]","[0, 21, 144, 164, 174, 191]"
-2129929504,5,"[0, 16, 16, 135, 135, 154, 154, 166, 166, 182]","[0, 16, 135, 154, 166, 182]"
-2045929446,5,"[0, 19, 19, 137, 137, 158, 158, 169, 169, 188]","[0, 19, 137, 158, 169, 188]"
-2039929212,5,"[0, 10, 10, 137, 137, 157, 157, 166, 166, 180]","[0, 10, 137, 157, 166, 180]"
-2033929470,5,"[0, 17, 17, 146, 146, 167, 167, 178, 178, 195]","[0, 17, 146, 167, 178, 195]"
-2033929450,5,"[0, 17, 17, 147, 147, 166, 166, 177, 177, 198]","[0, 17, 147, 166, 177, 198]"
-2033929434,5,"[0, 17, 17, 139, 139, 160, 160, 170, 170, 188]","[0, 17, 139, 160, 170, 188]"
-2033929430,5,"[0, 16, 16, 145, 145, 166, 166, 177, 177, 193]","[0, 16, 145, 166, 177, 193]"
-2033929414,5,"[0, 16, 16, 135, 135, 162, 162, 172, 172, 191]","[0, 16, 135, 162, 172, 191]"
-1718100544,5,"[0, 21, 21, 139, 139, 159, 159, 170, 170, 188]","[0, 21, 139, 159, 170, 188]"
-1718100536,5,"[0, 20, 20, 139, 139, 160, 160, 170, 170, 187]","[0, 20, 139, 160, 170, 187]"
-1716100432,5,"[0, 17, 17, 141, 141, 161, 161, 171, 171, 188]","[0, 17, 141, 161, 171, 188]"
-1714100694,5,"[0, 8, 8, 127, 127, 147, 147, 157, 157, 174]","[0, 8, 127, 147, 157, 174]"
-1714100690,5,"[0, 20, 20, 138, 138, 160, 160, 170, 170, 187]","[0, 20, 138, 160, 170, 187]"
-1714100686,5,"[0, 18, 18, 136, 136, 157, 157, 165, 165, 194]","[0, 18, 136, 157, 165, 194]"
-1714100682,5,"[0, 17, 17, 141, 141, 160, 160, 171, 171, 189]","[0, 17, 141, 160, 171, 189]"
-1714100520,5,"[0, 16, 16, 142, 142, 160, 160, 172, 172, 189]","[0, 16, 142, 160, 172, 189]"
-1696100360,5,"[0, 17, 17, 131, 131, 152, 152, 162, 162, 179]","[0, 17, 131, 152, 162, 179]"
-1690100610,5,"[0, 5, 5, 121, 121, 142, 142, 152, 152, 169]","[0, 5, 121, 142, 152, 169]"
-903170198,5,"[0, 5, 5, 130, 130, 150, 150, 160, 160, 177]","[0, 5, 130, 150, 160, 177]"
-903170194,5,"[0, 17, 17, 136, 136, 156, 156, 166, 166, 184]","[0, 17, 136, 156, 166, 184]"
-903170172,5,"[0, 20, 20, 144, 144, 164, 164, 173, 173, 191]","[0, 20, 144, 164, 173, 191]"
-903170168,5,"[0, 10, 10, 133, 133, 154, 154, 165, 165, 182]","[0, 10, 133, 154, 165, 182]"
-903170160,5,"[0, 17, 17, 140, 140, 160, 160, 170, 170, 184]","[0, 17, 140, 160, 170, 184]"
